Title,Author,Rating
A Story of Yesterday,Sergio Cobo,"4.59 avg rating — 11,789 ratings"
Deadly Election,Arthur Crandon,3.91 avg rating — 148 ratings
"First I Love You (The Downey Trilogy, #1)",Genevieve Dewey,4.44 avg rating — 118 ratings
Boot: A Sorta Novel of Vietnam,Charles L. Templeton,4.59 avg rating — 185 ratings
Found Money,Peter Watson Jenkins,4.23 avg rating — 82 ratings
Curse Girl (Blue Winter # 2),Mark Mackey,4.17 avg rating — 18 ratings
"Hot & Spicy (De La Cruz Saga, #1)",P.T. Macias,4.31 avg rating — 81 ratings
"The Law of Attraction (Lawyers in Love, #1)",N.M. Silber,"3.76 avg rating — 11,456 ratings"
"Ethereal Fury (Gemini Rising, #1)",Jessica O'Gorek,3.97 avg rating — 220 ratings
Adhaata Asao's Liege,Afroz  Alam,4.55 avg rating — 164 ratings
"Hillbilly Tales from the Smoky Mountains - And Other Homespun Remedies, Proverbs, and Poetry",Patricia H. Graham,3.84 avg rating — 57 ratings
The Ruby Brooch (Celtic Brooch #1),Katherine Lowry Logan,"4.09 avg rating — 5,516 ratings"
Escape to Danger,Peter Watson Jenkins,3.96 avg rating — 46 ratings
"Past, Present, and Promises",Patricia H. Graham,4.05 avg rating — 42 ratings
"Consequences (Consequences, #1)",Aleatha Romig,"3.92 avg rating — 41,327 ratings"
Short Stories for the Night Stand,Debra Wattes,3.93 avg rating — 14 ratings
The Porn Detective,Stevie Turner,4.54 avg rating — 91 ratings
Dog Days of Summer (Rolling Thunder #1),P.J. Fiala,"4.03 avg rating — 1,513 ratings"
The Most Interesting Person in the Room: A brief guide to understanding the world,Thomas   Vernon,3.88 avg rating — 153 ratings
"The Students Sold Us Secrets, Volume One",Lee J. Mavin,4.48 avg rating — 29 ratings
New Yesterdays,Jim L. Wright,4.44 avg rating — 88 ratings
My Name Is Rapunzel,K.C. Hilton,"3.14 avg rating — 1,932 ratings"
"Daimones (Daimones Trilogy, #1)",Massimo Marino,3.45 avg rating — 628 ratings
Mystically Beautiful,Teresa Joseph Franklin,4.47 avg rating — 15 ratings
"Angelfall (Penryn & the End of Days, #1)",Susan Ee,"4.11 avg rating — 188,127 ratings"
Lily,Stevie Turner,4.70 avg rating — 67 ratings
Risen (The Chosen Chronicles #1),Christine James,4.18 avg rating — 164 ratings
"Apocalypse of Angels: Seeing Angels (Apocalypse of Angels, #1)",Harmony Lawson,4.04 avg rating — 72 ratings
The Haunting of Willow Tree Court,Jennifer Adele,really liked it4.00 avg rating — 71 ratings
"Witch in the Woods (Witch in the Woods, #1)",Taylor Ann Bunker,3.92 avg rating — 178 ratings
Red Gone Bad,Lucy Pireel,3.82 avg rating — 39 ratings
The Sea of Tranquility,Katja Millay,"4.29 avg rating — 85,418 ratings"
The Salty Dog,Debbie   White,3.63 avg rating — 305 ratings
My Prison Without Bars: The Journey of a Damaged Woman to Someplace Normal,Taylor Evan Fulks,4.18 avg rating — 432 ratings
Dreams Come True,Bridgitte Lesley,4.21 avg rating — 268 ratings
Brain: The Man Who Wrote the Book That Changed the World,Dermot Davis,3.85 avg rating — 266 ratings
"Don't Close Your Eyes (DCYE, #1)",Lynessa James,3.70 avg rating — 520 ratings
"Safe Heart (Blood Dragon, #1)",Kenra Daniels,4.16 avg rating — 43 ratings
"Summon Kassern (Archangels Creed, #1)",Azure Boone,3.97 avg rating — 101 ratings
"Edge of Dawn (Midnight Breed, #11)",Lara Adrian,"4.24 avg rating — 12,600 ratings"
Untethered,Katie Hayoz,4.03 avg rating — 295 ratings
"Heart of Oak (The Soldier Chronicles, #2)",David        Cook,4.46 avg rating — 181 ratings
"Crush (Crush, #1)",Lacey Weatherford,"3.95 avg rating — 23,709 ratings"
Today Only,Derinda Love,4.23 avg rating — 500 ratings
"Blood on the Snow (The Soldier Chronicles, #3)",David        Cook,4.34 avg rating — 145 ratings
Bound,Lucy Pireel,3.34 avg rating — 68 ratings
"The Past (VanWest, #1)",Kenneth   Thomas,3.84 avg rating — 744 ratings
"A World of Possibility (ASMSG Collections, #1)",Christopher  Shields,4.73 avg rating — 86 ratings
"TRANSITION, The Chimera Hunters Series",Megan S. Johnston,3.67 avg rating — 46 ratings
Conduit (Emily Monroe #1),Angie Martin,3.96 avg rating — 516 ratings
The Book of Occult,Simon W. Clark,"3.64 avg rating — 3,757 ratings"
